PJT,Type,Pin1_+,Pin2_-,Pin_Total,Current_-,Current_+,Voltage_Comp
CEN_MIN,Module,TXASIC_AVDD,Merged_GND,TXASIC_AVDD,-1,3,10
CEN_MIN,Module,TXASIC_STATUS,Merged_GND,TXASIC_STATUS,-1,1.8,0.01
CEN_MIN,Module,CAM_SCL,Merged_GND,CAM_SCL,-0.7,1.8,0.01
CEN_MIN,Module,CAM_SDA,Merged_GND,CAM_SDA,-0.7,1.8,0.0001
CEN_MIN,Module,IRCAM_AVDD,Merged_GND,IRCAM_AVDD,-0.5,3,1
CEN_MIN,Module,IRCAM_VDDL1,Merged_GND,IRCAM_VDDL1,-0.25,1.3,50
CEN_MIN,Module,IRCAM_VDDL2,Merged_GND,IRCAM_VDDL2,-0.25,1.3,50
CEN_MIN,Module,IRCAM_DVDD,Merged_GND,IRCAM_DVDD,-0.25,1.3,50
CEN_MIN,Module,IRCAM_VDDIO,Merged_GND,IRCAM_VDDIO,-0.5,1.8,0.1
CEN_MIN,Module,CLK_CAM,Merged_GND,CLK_CAM,-0.7,1.8,0.1
CEN_MIN,Module,IRCAM_SHDN,Merged_GND,IRCAM_SHDN,-0.7,1.8,0.1
CEN_MIN,Module,IRCAM_SYNC,Merged_GND,IRCAM_SYNC,-0.7,1.8,0.1
CEN_MIN,Module,IRCAM_STROBE,Merged_GND,IRCAM_STROBE,-0.7,1.8,0.1
CEN_MIN,Module,D0_N,Merged_GND,D0_N,-0.5,1.5,1
CEN_MIN,Module,D0_P,Merged_GND,D0_P,-0.5,1.5,1
CEN_MIN,Module,PROX_AVDD,Merged_GND,PROX_AVDD,-1,3,1
CEN_MIN,Module,PROX(AOP)_SDA,Merged_GND,PROX(AOP)_SDA,-1,1.2,0.001
CEN_MIN,Module,PROX(AOP)_SCL,Merged_GND,PROX(AOP)_SCL,-1,1.2,0.0001
CEN_MIN,Module,PROX_INT,Merged_GND,PROX_INT,-1,1.2,0.001
CEN_MIN,Module,PROX_HV,Merged_GND,PROX_HV,-0.9,1.8,1
